2013,2014,2015,2016,2017
"5,159","5,597","5,920","5,984","6,128"
"3,683","4,462","5,189","5,506","5,655"
"4,408","4,581","4,382","4,719","4,637"
"1,631","1,749","1,925","1,850","1,822"
"2,395","2,499","2,615","2,982","2,781"
"3,593","3,809","3,894","4,256","3,908"
"3,371","3,696","4,038","4,401","4,477"
683,721,891,894,926
"2,080","2,263","2,392","2,490","2,276"
"3,274","3,730","4,155","4,346","4,180"
"2,302","2,471","2,639","2,669","2,676"
"10,154","11,072","11,896","12,513","12,203"
"3,374","3,631","4,320","4,325","4,441"
"3,611","3,832","3,908","4,159","3,978"
